generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le principal facteur de risque de prématurité chez une femme enceinte?"", ""option_a1"": ""Tabagisme"", ""option_b1"": ""Alcoolisme"", ""option_c1"": ""Toxicomanie"", ""option_d1"": ""Stress"", ""correct_option1"": ""a"", ""question2"": ""Quelle complication est associée à un retard de croissance intra-utérin (RCIU) sévère?"", ""option_a2"": ""Hypothermie"", ""option_b2"": ""Hypoglycémie"", ""option_c2"": ""Polyglobulie"", ""option_d2"": ""Hypocalcémie"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la fréquence approximative des fentes labio-palatines chez les nouveau-nés?"", ""option_a1"": ""1/1000 naissances"", ""option_b1"": ""1/500 naissances"", ""option_c1"": ""1/2000 naissances"", ""option_d1"": ""1/100 naissances"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la forme la plus fréquente de fente labio-palatine?"", ""option_a2"": ""Fente du palais secondaire (médiane)"", ""option_b2"": ""Fente totale"", ""option_c2"": ""Fente du palais primaire (latéralisée)"", ""option_d2"": ""Fente du voile (luette bifide)"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle année a vu la dépénalisation de l'avortement en France?"", ""option_a1"": ""1960"", ""option_b1"": ""1972"", ""option_c1"": ""1975"", ""option_d1"": ""1980"", ""correct_option1"": ""c"", ""question2"": ""Quelle était la limite de l'avortement avant la loi Veil de 1975?"", ""option_a2"": ""Jusqu'à la 10ème semaine d'aménorrhée"", ""option_b2"": ""Jusqu'à la 12ème semaine d'aménorrhée"", ""option_c2"": ""Jusqu'à la 14ème semaine d'aménorrhée"", ""option_d2"": ""Jusqu'à la 16ème semaine d'aménorrhée"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les principales causes de grossesses non désirées?"", ""option_a1"": ""L'absence de contraception"", ""option_b1"": ""Le respect des règles de changement de méthode contraceptive"", ""option_c1"": ""La méthode contraceptive adaptée et efficace"", ""option_d1"": ""La grossesse non désirée ne mène jamais à une IVG"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la proportion de femmes ayant recours à une IVG qui utilisaient une méthode contraceptive?"", ""option_a2"": ""1/3"", ""option_b2"": ""1/2"", ""option_c2"": ""2/3"", ""option_d2"": ""3/4"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le nombre d'IVG réalisés en France chaque année?"", ""option_a1"": ""150 000"", ""option_b1"": ""200 000"", ""option_c1"": ""250 000"", ""option_d1"": ""300 000"", ""correct_option1"": ""c"", ""question2"": ""Depuis quand le nombre d'IVG en France est-il stable?"", ""option_a2"": ""2000"", ""option_b2"": ""2005"", ""option_c2"": ""2006"", ""option_d2"": ""2010"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel âge est le plus souvent concerné par les interruptions volontaires de grossesse (IVG) en France?"", ""option_a1"": ""15-19 ans"", ""option_b1"": ""20-24 ans"", ""option_c1"": ""25-29 ans"", ""option_d1"": ""30-34 ans"", ""correct_option1"": ""b"", ""question2"": ""Quel est le taux de recours à l'IVG dans la tranche d'âge 20-24 ans en France?"", ""option_a2"": ""10 IVG pour 1000 femmes"", ""option_b2"": ""20 IVG pour 1000 femmes"", ""option_c2"": ""27,9 IVG pour 1000 femmes"", ""option_d2"": ""30 IVG pour 1000 femmes"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le délai légal maximal pour une Interruption Volontaire de Grossesse (IVG) en France?"", ""option_a1"": ""12 semaines d'aménorrhée"", ""option_b1"": ""14 semaines d'aménorrhée"", ""option_c1"": ""16 semaines d'aménorrhée"", ""option_d1"": ""18 semaines d'aménorrhée"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la modalité de couverture sociale pour une IVG en France?"", ""option_a2"": ""Aucune couverture sociale"", ""option_b2"": ""Couverture sociale partielle"", ""option_c2"": ""Couverture sociale à 100%"", ""option_d2"": ""Couverture sociale conditionnelle"", ""correct_option2"": ""c""}"
"{""question1"": ""Dans quel(s) établissement(s) peut-on réaliser une interruption volontaire de grossesse (IVG)?"", ""option_a1"": ""Seulement dans des établissements de santé"", ""option_b1"": ""Seulement dans un centre de planification familiale"", ""option_c1"": ""Dans des établissements de santé, dans un centre de planification familiale ou en ville en libéral pour les IVG médicamenteuses jusqu’à 9 SA"", ""option_d1"": ""Seulement par un gynécologue, un médecin généraliste ou une sage-femme"", ""correct_option1"": ""c"", ""question2"": ""Quel professionnel de santé peut réaliser la première consultation pour une IVG, même s'il n'est pas attaché à un centre réalisant les IVG?"", ""option_a2"": ""Seulement un gynécologue"", ""option_b2"": ""Seulement un médecin généraliste"", ""option_c2"": ""Un gynécologue, un médecin généraliste ou une sage-femme"", ""option_d2"": ""Seulement une sage-femme"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la première étape de la prise en charge d'une demande d'interruption volontaire de grossesse (IVG)?"", ""option_a1"": ""La réalisation de l'IVG"", ""option_b1"": ""La consultation de contrôle post-IVG"", ""option_c1"": ""La consultation initiale avec un médecin ou une sage-femme"", ""option_d1"": ""L'entretien psycho-social"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la durée minimale entre la deuxième et la troisième consultation lors d'une IVG médicamenteuse?"", ""option_a2"": ""14 jours"", ""option_b2"": ""21 jours"", ""option_c2"": ""7 jours"", ""option_d2"": ""30 jours"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la principale différence entre les techniques d'IVG médicamenteuse et instrumentale en termes de délai légal maximal?"", ""option_a1"": ""La technique médicamenteuse peut être réalisée jusqu'à 16 SA, tandis que la technique instrumentale jusqu'à 9 SA."", ""option_b1"": ""La technique médicamenteuse peut être réalisée jusqu'à 9 SA, tandis que la technique instrumentale jusqu'à 16 SA."", ""option_c1"": ""Les deux techniques peuvent être réalisées jusqu'à 9 SA."", ""option_d1"": ""Les deux techniques peuvent être réalisées jusqu'à 16 SA."", ""correct_option1"": ""b"", ""question2"": ""Quel est le schéma thérapeutique de la technique médicamenteuse pour une IVG réalisée entre 7 et 9 SA?"", ""option_a2"": ""200 mg mifépristone per os 48 heures avant le geste ou 400 microg misoprostol per os 3 à 4 heures avant le geste"", ""option_b2"": ""200 mg mifépristone per os suivi 24 à 48 heures par la prise de misoprostol per os"", ""option_c2"": ""800 microg misoprostol per os 3 à 4 heures avant le geste"", ""option_d2"": ""200 mg mifépristone per os 48 heures avant le geste"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelles sont les contre-indications à la mifépristone et au misoprostol?"", ""option_a1"": ""Troubles de la coagulation, prise d'un traitement anticoagulant"", ""option_b1"": ""Anémie profonde (Hb < 9–10 g/dL)"", ""option_c1"": ""DIU en place"", ""option_d1"": ""Patiente isolée, ne comprenant pas les informations"", ""correct_option1"": ""a"", ""question2"": ""Quelles sont les contre-indications à la technique médicamenteuse?"", ""option_a2"": ""Insuffisance surrénale chronique"", ""option_b2"": ""Hypersensibilité au misoprostol"", ""option_c2"": ""Asthme sévère, non contrôlé par le traitement"", ""option_d2"": ""Porphyrie héréditaire"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les déterminants du choix contraceptif après une interruption volontaire de grossesse (IVG)?"", ""option_a1"": ""Seulement l'efficacité de la méthode"", ""option_b1"": ""L'efficacité, les effets secondaires, les contraintes d'utilisation, le coût et les souhaits de la patiente"", ""option_c1"": ""Seulement les effets secondaires et les contre-indications"", ""option_d1"": ""Seulement le coût et les contraintes d'utilisation"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les méthodes de contraception qui peuvent être utilisées après une IVG?"", ""option_a2"": ""Contraception oestroprogestative orale, anneau vaginal, implant et DIU"", ""option_b2"": ""Contraception oestroprogestative orale, anneau vaginal et implant"", ""option_c2"": ""Contraception oestroprogestative orale, anneau vaginal et DIU"", ""option_d2"": ""Contraception oestroprogestative orale, implant et DIU"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les facteurs de risque d'IVG itératives?"", ""option_a1"": ""Âge jeune"", ""option_b1"": ""Patiente célibataire"", ""option_c1"": ""Conditions socio-économiques favorables"", ""option_d1"": ""Contraception adaptée"", ""correct_option1"": ""a"", ""question2"": ""Quelles méthodes contraceptives pourraient mieux prévenir la répétition des IVG?"", ""option_a2"": ""Contraception orale"", ""option_b2"": ""Dispositif intra-utérin"", ""option_c2"": ""Contraception par patch"", ""option_d2"": ""Contraception par préservatif"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la définition de la fertilité?"", ""option_a1"": ""La capacité d’un couple à concevoir"", ""option_b1"": ""La capacité à se reproduire"", ""option_c1"": ""La probabilité de survenue d’une grossesse au cours d’un mois"", ""option_d1"": ""Le nombre de naissances vivantes par an"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la définition de la fécondité?"", ""option_a2"": ""La capacité d’un couple à concevoir"", ""option_b2"": ""La capacité à se reproduire"", ""option_c2"": ""La probabilité de survenue d’une grossesse au cours d’un mois"", ""option_d2"": ""Le nombre de naissances vivantes par an"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la définition de l'infertilité selon l'Organisation Mondiale de la Santé (OMS)?"", ""option_a1"": ""L'incapacité à obtenir une grossesse clinique après 6 mois de rapports sexuels non protégés."", ""option_b1"": ""L'incapacité à obtenir une grossesse clinique après 12 mois de rapports sexuels non protégés."", ""option_c1"": ""L'incapacité à obtenir une grossesse clinique après 24 mois de rapports sexuels non protégés."", ""option_d1"": ""L'incapacité à obtenir une grossesse clinique après 36 mois de rapports sexuels non protégés."", ""correct_option1"": ""b"", ""question2"": ""Quelle est la différence entre l'infertilité et la stérilité?"", ""option_a2"": ""L'infertilité est une difficulté à procréer, tandis que la stérilité est une impossibilité totale de concevoir."", ""option_b2"": ""L'infertilité est une impossibilité totale de concevoir, tandis que la stérilité est une difficulté à procréer."", ""option_c2"": ""L'infertilité et la stérilité sont synonymes et désignent la même condition."", ""option_d2"": ""L'infertilité est une condition qui peut être traitée, tandis que la stérilité est une condition irréversible."", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est l'élément essentiel à interroger lors de la première consultation d'un couple infertile?"", ""option_a1"": ""L'âge du partenaire masculin"", ""option_b1"": ""Les habitudes de vie du couple"", ""option_c1"": ""Les antécédents familiaux uniquement"", ""option_d1"": ""Les antécédents médicaux du partenaire masculin"", ""correct_option1"": ""b"", ""question2"": ""Quel est le signe clinique qui peut orienter vers une endométriose chez une femme infertile?"", ""option_a2"": ""Acné"", ""option_b2"": ""Hirsutisme"", ""option_c2"": ""Douleurs pelviennes"", ""option_d2"": ""Saignements menstruels abondants"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le délai recommandé pour réaliser un bilan d'infertilité chez un couple sans contraception et sans grossesse clinique évolutive?"", ""option_a1"": ""3 mois"", ""option_b1"": ""6 mois"", ""option_c1"": ""1 an"", ""option_d1"": ""2 ans"", ""correct_option1"": ""c"", ""question2"": ""Quel examen est recommandé pour évaluer la fonction ovarienne chez une femme présentant des troubles du cycle menstruel?"", ""option_a2"": ""Echographie pelvienne J2 à J5"", ""option_b2"": ""Hystérosalpingographie J5-J9"", ""option_c2"": ""Spermogramme avec spermocytogramme"", ""option_d2"": ""Test post-coïtal (ou test de Hühner)"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelles sont les conditions de recueil pour un spermogramme?"", ""option_a1"": ""Dans un laboratoire spécialisé"", ""option_b1"": ""Par masturbation"", ""option_c1"": ""Après un délai d’abstinence de 2 à 7 jours"", ""option_d1"": ""Après une toilette intime avant le recueil"", ""correct_option1"": ""c"", ""question2"": ""Quels paramètres sont analysés après la réalisation du recueil spermatique?"", ""option_a2"": ""Mesure du volume de l’éjaculat"", ""option_b2"": ""Évaluation de la viscosité de l’éjaculat"", ""option_c2"": ""Mesure du pH de l’éjaculat"", ""option_d2"": ""Evaluation de la mobilité des spermatozoïdes selon les recommandations de l’OMS, en 3 catégories : mobilité progressive (PR), mobilité non progressive (NP), spermatozoïdes immobiles (I)."", ""correct_option2"": ""d""}"
"{""question1"": ""Quelle est la proportion d'infertilité d'origine féminine parmi les cas d'infertilité?"", ""option_a1"": ""10%"", ""option_b1"": ""20%"", ""option_c1"": ""30%"", ""option_d1"": ""40%"", ""correct_option1"": ""c"", ""question2"": ""Parmi les causes d'infertilité féminine, quelle est la cause la plus fréquente?"", ""option_a2"": ""Obstruction tubaire"", ""option_b2"": ""Endométriose"", ""option_c2"": ""Troubles du cycle menstruel"", ""option_d2"": ""Pathologie utérine ou cervicale"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelles sont les principales causes environnementales d'infertilité masculine?"", ""option_a1"": ""Exposition à la chaleur"", ""option_b1"": ""Exposition aux toxiques"", ""option_c1"": ""Exposition aux radiations"", ""option_d1"": ""Exposition à la lumière"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les causes génétiques d'infertilité masculine?"", ""option_a2"": ""Syndrome de Klinefelter"", ""option_b2"": ""Microdéletions au sein du locus AZF"", ""option_c2"": ""Tumeurs de la région hypothalamo-hypophysaire"", ""option_d2"": ""Hyperprolactinémie"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition de l'Assistance Médicale à la Procréation (AMP)?"", ""option_a1"": ""Pratiques cliniques et biologiques permettant la conception in vitro, le transfert d'embryon et l'insémination artificielle, ainsi que la préservation de la fertilité."", ""option_b1"": ""Pratiques médicales permettant uniquement la conception in vitro et le transfert d'embryon."", ""option_c1"": ""Pratiques biologiques permettant uniquement la préservation de la fertilité."", ""option_d1"": ""Pratiques cliniques et biologiques permettant uniquement la conception in vitro."", ""correct_option1"": ""a"", ""question2"": ""Quel est l'objectif principal de l'AMP selon la Loi de Bioéthique 2021?"", ""option_a2"": ""Remédier à l'infertilité d'un couple ou éviter la transmission d'une maladie grave à l'enfant ou au couple."", ""option_b2"": ""Permettre la conception in vitro uniquement."", ""option_c2"": ""Permettre la préservation de la fertilité uniquement."", ""option_d2"": ""Permettre la conception in vitro et la préservation de la fertilité."", ""correct_option2"": ""a""}"
"{""question1"": ""..."", ""option_a1"": ""..."", ""option_b1"": ""..."", ""option_c1"": ""..."", ""option_d1"": ""..."", ""correct_option1"": ""a"", ""question2"": ""..."", ""option_a2"": ""..."", ""option_b2"": ""..."", ""option_c2"": ""..."", ""option_d2"": ""..."", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle technique de préservation de la fertilité féminine est la plus adaptée pour les jeunes filles pubères et femmes en situation d'urgence?"", ""option_a1"": ""Congélation d'ovocytes matures"", ""option_b1"": ""Congélation d'embryons"", ""option_c1"": ""Maturation in vitro des ovocytes immatures"", ""option_d1"": ""Congélation de cortex ovarien"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la principale limitation de la congélation d'ovocytes matures chez les femmes en situation de traitement gonadotoxique?"", ""option_a2"": ""Nécessité d'une stimulation hormonale préalable"", ""option_b2"": ""Augmentation supra-physiologique de l'estradiol"", ""option_c2"": ""Nécessité d'une ponction ovocytaire échoguidée"", ""option_d2"": ""Nécessité d'une fécondation in vitro"", ""correct_option2"": ""b""}"
