,id,question,option_a,option_b,option_c,option_d,correct_option
886,OIC-108-12-B-,Quel test est utilisé pour évaluer la mémoire épisodique?,Test de l'horloge,Epreuve des cinq mots,Dessin sur copie d'une figure géométrique,Fermer les yeux,b
887,OIC-108-13-B-,Quel est l'objectif principal de l'IRM cérébrale dans le diagnostic d'un trouble neurocognitif?,Évaluer l'atrophie cérébrale,Éliminer une cause non dégénérative,Rechercher une hydrocéphalie,Analyser les lésions vasculaires ischémiques et hémorragiques,a
888,OIC-108-14-B,Quel est l'aspect typique d'un hématome sous-dural chronique au scanner X cérébral?,Hyperdense,Isodense,Hypodense,Mélange de zones hyperdenses et hypodenses,c
889,OIC-108-15-A,Quel est le signe radiologique principal d'un hématome sous-dural chronique sur une tomodensitométrie?,Hématome hyperdense,Hématome isodense,Hématome hypo dense en forme de « croissant de lune »,Hématome spontanément hyperdense,c
890,OIC-108-16-B,Quelle est la principale caractéristique radiologique de l'hydrocéphalie chronique de l'adulte?,Présence d'un obstacle à l'écoulement du LCR,Dilatation tétraventriculaire sans effet de masse,Hypersignal en pondération T1 en IRM,Hypodensité en pondération T2 en IRM,b
891,OIC-108-16-B-,Quelle est l'anomalie radiologique associée à la résorption transépendymaire dans l'hydrocéphalie chronique de l'adulte?,Hypersignal en pondération T1 en IRM,Hypodensité en pondération T2 en IRM,Hypersignal en pondération T2 en IRM,Hypodensité en pondération T1 en IRM,c
892,OIC-108-17-B,Quelle est l'indication principale de la scintigraphie de perfusion cérébrale dans les troubles neurocognitifs?,Évaluer la fonction hépatique,Identifier l'hypoperfusion dans les régions corticales associatives et temporales internes,Mesurer la pression artérielle,Évaluer la fonction rénale,b
893,OIC-108-17-B-,Dans quel type de démence la scintigraphie des transporteurs de la Dopamine est-elle indiquée pour différencier une maladie à corps de Lewy d'une maladie d'Alzheimer?,Démence vasculaire,Démence fronto-temporale,Maladie à corps de Lewy,Démence de Parkinson,c
894,OIC-109-01-A-,Quelle est la sévérité du trouble de la marche qui doit être évaluée dans la vie quotidienne?,La capacité à monter un escalier,La capacité à descendre un escalier,Les chutes ou « presque-chutes » et leurs conséquences,L'utilisation d'une canne,c
895,OIC-109-02-A,Quel est le premier élément à examiner lors de l'évaluation d'un trouble de la marche?,La taille des pas,La posture du tronc,La vitesse de la marche,La symétrie des mouvements des membres supérieurs,b
896,OIC-109-03-B,Quelle échelle est utilisée pour évaluer l'équilibre chez les patients âgés?,Test de marche de 6 minutes,Echelle d'équilibre de Berg,Functional Ambulation Classification (FAC),Test de Romberg,b
897,OIC-109-03-B-,Quel test évalue la capacité d'un patient à se lever d'une chaise et à marcher?,Test de Romberg,Get up and go test,Echelle d'équilibre de Berg,Test de marche de 6 minutes,b
898,OIC-109-04-A,Quelle est la caractéristique principale des troubles de la marche d'origine ataxique cérébelleuse?,Boiterie d'évitement,Marche talonnante,"Syndrome cérébelleux statique, cinétique et locomoteur",Hémiparésie,c
899,OIC-109-04-A-,Quelle est la caractéristique principale des troubles de la marche d'origine périphérique?,Séquelles d'accident vasculaire cérébral,Marche à petits pas,Steppage,Syndrome parkinsonien,c
900,OIC-109-06-A,Quelle est la définition de l'astasie-abasie?,"Peur panique de marcher, avec des réactions anxieuses majeures si le patient est poussé à marcher",Capacité à marcher sans aide,Capacité à maintenir l'équilibre sans aide,Capacité à marcher avec une aide,a
901,OIC-109-07-B,Quelle est l'étiologie principale de l'astasie-abasie psychogène?,Syndrome de glissement,Syndrome dépressif,Apraxie de la marche,Ataxie frontale,b
902,OIC-109-08-B,Quelle est la caractéristique principale de la démarche dandinante?,Déficit moteur des muscles des racines des membres inférieurs et de la ceinture pelvienne,Hyperlordose avec bascule du bassin en arrière,Tronc et tête rejetés en avant,Myalgies et crampes musculaires,a
903,OIC-109-09-A-,Quel symptôme est associé à la composante psychologique du syndrome post-chute?,Tendance à la rétropulsion,Anxiété majeure,Flexion des genoux,Syndrome de régression psychomotrice,b
904,OIC-109-10-B,Quelle est la caractéristique principale de la marche chez un sujet dépressif?,Marche rapide et agitée,Marche normale sans particularité,Marche lente et ralentie,Marche bondissante ou robotique,c
905,OIC-109-10-B-,Quel est un indice en faveur d'un trouble de la marche psychogène?,Début progressif et constant,Réponse au placebo,Marche toujours identique,Absence de modification spontanée,b
906,OIC-109-11-B,Quel est le principal trouble de la marche observé dans la vidéo?,Hémiparésie,Ataxie cérébelleuse,Paraparésie spastique,Démence frontotemporale,b
907,OIC-109-12-A,Quel examen d'imagerie est recommandé en cas de symptomatologie aiguë brutale pour écarter un accident vasculaire cérébral ischémique aigu?,Scanner cérébral,IRM cérébrale avec séquence de diffusion et analyse du polygone de Willis,Angioscanner du polygone de Willis,IRM cérébrale standard,b
908,OIC-109-12-A-,"Dans le cadre des syndromes parkinsoniens, quelle est la situation où une imagerie cérébrale est inutile?",Lorsque la clinique évoque typiquement une maladie de Parkinson,Lorsque le patient présente des atypies au tableau de syndrome parkinsonien,Lorsque le patient a un antécédent d'AVC,Lorsque le patient a une hydrocéphalie chronique,a
909,OIC-109-13-A,Quel examen biologique est essentiel pour évaluer un trouble de la marche ou de l'équilibre?,ECG,Scanner cérébral,Bilan biologique,EMG,c
910,OIC-109-13-A-,Quel examen d'imagerie est recommandé pour détecter un hématome sous-dural?,IRM cérébrale,Scanner cérébral sans injection,ECG,Bilan biologique,b
911,OIC-112-01-A,Quelle est la caractéristique principale d'une dermatose bulleuse auto-immune?,Présence de bulles uniquement sur la peau,Dépôt d'immunoglobulines à la jonction dermo-épidermique,Lésions uniquement sur les muqueuses,Absence de signe de Nikolsky,b
912,OIC-112-01-A-,Où se forme une bulle intra-épidermique?,Dans le derme,Dans l'épiderme,Sous l'épiderme,Dans le muscle,b
913,OIC-112-02-A,Quel est le premier élément clinique à suspecter une dermatose bulleuse auto-immune?,Présence de vésicules,Signe de Nikolsky,Lésions eczématiformes,Erosions muqueuses,b
914,OIC-112-02-A-,Quel examen permet de confirmer le diagnostic d'une dermatose bulleuse auto-immune?,Analyse histologique standard,Examen en immunofluorescence directe,Biopsie cutanée,Examen en microscopie électronique,b
915,OIC-112-03-B,Quelle est la principale caractéristique histologique de la pemphigoïde bulleuse?,Bulle intra-épidermique avec acantholyse,Bulle sous-épidermique avec infiltrat de polynucléaires éosinophiles,Bulle intra-épidermique sans acantholyse,Bulle sous-épidermique sans infiltrat de polynucléaires éosinophiles,b
916,OIC-112-03-B-,Quel est le principal anticorps cible dans le pemphigus vulgaire?,Desmogléine 1,Desmogléine 3,BP180,BP230,b
917,OIC-112-04-A,Quel est l'intérêt principal de la biopsie cutanée dans le diagnostic des dermatoses bulleuses?,Évaluer la gravité de la maladie,Affirmer le diagnostic de maladie bulleuse auto-immune,Mesurer la réponse au traitement,Déterminer l'âge de la lésion,b
918,OIC-112-04-A-,"En cas de négativité de l'immunofluorescence directe, quelle est la conclusion possible?",Le diagnostic de dermatose bulleuse auto-immune est confirmé,Le diagnostic de dermatose bulleuse auto-immune est écarté,La maladie est due à une infection bactérienne,La maladie est due à une allergie alimentaire,b
919,OIC-112-05-B,Quelle est l'étiologie de la phytophotodermatose?,Exposition au froid,Exposition à une substance chimique,Exposition à la lumière du soleil après contact avec certaines plantes,Piqûre d'insecte,c
920,OIC-112-05-B-,Quelle est l'étiologie du coup de soleil?,Exposition au froid,Exposition à une substance chimique,Exposition à la lumière du soleil,Piqûre d'insecte,c
921,OIC-112-06-A,Quelle est la caractéristique principale d'une lésion bulleuse?,Une lésion rouge et inflammatoire,Une lésion avec une surface lisse et sans bulle,Une lésion avec une bulle tendue à contenu clair,Une lésion avec une surface rugueuse et sèche,c
922,OIC-112-06-A-,Où peut se situer une lésion bulleuse?,Seulement sur la peau,Seulement sur les muqueuses internes,Sur la peau et/ou les muqueuses externes,Sur les muqueuses internes et externes,c
923,OIC-112-07-B,Quelle est la caractéristique principale de la pemphigoïde bulleuse observée sur la photographie?,Bulles tendues à contenu clair ou hémorragique,Croûtes rondes sur peau urticarienne,Eruptions vésiculeuses sur les muqueuses,Lésions érythémateuses diffuses,a
924,OIC-112-08-B,Quelle est la caractéristique principale des lésions observées dans la photographie de pemphigus vulgaire?,Bulles flasques sur la peau et les muqueuses,Eruptions vésiculeuses sur le visage,Erythème diffus sur le corps,Pustules sur les mains et les pieds,a
925,OIC-112-08-B-,Quelle est la localisation préférentielle des lésions dans le pemphigus vulgaire selon la photographie?,Visage et mains,Dos et muqueuses,Avant-bras et jambes,Tête et cou,b
926,OIC-121-01-A,Quelle est la principale différence entre le handicap psychique et le handicap intellectuel?,Le handicap psychique est présent dès la naissance,Le handicap psychique est évolutif et nécessite des soins médicaux,Le handicap intellectuel est lié à un trouble psychiatrique,Le handicap psychique n'affecte pas les relations sociales,b
927,OIC-121-01-A-,Quel est le niveau qui concerne la difficulté à réaliser une activité dans le handicap psychique?,La déficience,Les limitations de l'activité,Les restrictions de participation,Les biais cognitifs,b
928,OIC-121-02-B,Quel est l'objectif principal de la prise en charge du handicap psychique?,Améliorer les performances sportives,Aider la personne à se rétablir,Augmenter les revenus financiers,Diminuer les interactions sociales,b
929,OIC-121-02-B-,Quelles techniques sont utilisées dans la prise en charge du handicap psychique?,Techniques de réhabilitation physique,Techniques de réhabilitation psychosociales,Techniques de réhabilitation nutritionnelle,Techniques de réhabilitation artistique,b
930,OIC-121-03-B,Quelle méthode vise à restaurer des fonctions altérées ou à développer des stratégies de compensation?,L'éducation thérapeutique,Les psychothérapies cognitivo-comportementales,La remédiation cognitive,L'entraînement aux habilités sociales,c
931,OIC-121-03-B-,Quelle méthode peut concerner le patient et/ou sa famille pour fournir des informations sur les troubles psychiques et leur prise en charge?,Les psychothérapies cognitivo-comportementales,L'entraînement aux habilités sociales,L'éducation thérapeutique,La remédiation cognitive,c
932,OIC-121-04-B,Quel type d'aide peut être proposé pour faciliter l'accès au logement pour une personne ayant des troubles psychiatriques?,Des appartements thérapeutiques ou associatifs,Une pension d'invalidité,Une allocation pour adultes handicapés (AAH),Un emploi en milieu protégé,a
933,OIC-121-04-B-,Quelle mesure sociale peut être proposée pour faciliter l'accès au travail pour une personne ayant des troubles psychiatriques?,Des appartements thérapeutiques ou associatifs,Une reconnaissance en qualité de travailleur handicapé (RQTH),Une pension d'invalidité,Un emploi en milieu protégé,b
934,OIC-121-05-B,Quelle mesure de protection juridique permet à une personne de réaliser les actes de sa vie civile avec l'assistance d'un tiers?,La curatelle,La tutelle,La mesure de sauvegarde de justice,La mesure de protection temporaire,a
935,OIC-121-05-B-,Quelle mesure de protection juridique permet à une personne de réaliser les actes de sa vie civile avec la représentation d'un tiers?,La curatelle,La tutelle,La mesure de sauvegarde de justice,La mesure de protection temporaire,b
936,OIC-124-01-A,Quelle est la définition de la ménopause selon l'OMS en 1996?,Arrêt des menstruations pour une durée de 6 mois,Arrêt des menstruations pour une durée de 12 mois sans cause évidente chez une femme de plus de 45 ans,Arrêt des menstruations pour une durée de 18 mois,Arrêt des menstruations pour une durée de 24 mois,b
937,OIC-124-01-A-,Quel est le principal symptôme de la péri-ménopause?,Sécheresse vaginale,Troubles du cycle menstruel,Sueurs nocturnes,Bouffées vasomotrices,b
938,OIC-124-02-B,Quel est l'âge médian de la ménopause naturelle dans la population européenne?,40 ans,50 ans et demi,55 ans,60 ans,b
939,OIC-124-03-B,Quelle est la définition de l'insuffisance ovarienne prématurée (IOP)?,Survenue d'une aménorrhée primaire ou secondaire de plus de 4 mois avant l'âge de 40 ans associée à une augmentation des gonadotrophines hypophysaires.,Survenue d'une aménorrhée primaire ou secondaire de plus de 4 mois avant l'âge de 30 ans associée à une diminution des gonadotrophines hypophysaires.,Survenue d'une aménorrhée primaire ou secondaire de plus de 4 mois avant l'âge de 40 ans associée à une diminution des gonadotrophines hypophysaires.,Survenue d'une aménorrhée primaire ou secondaire de plus de 4 mois avant l'âge de 30 ans associée à une augmentation des gonadotrophines hypophysaires.,a
